"";"X";"Start.Time";"End.Time";"Trip.Duration";"Start.Station";"End.Station";"User.Type";"Gender";"Age";"city"
"124";2792598;"2017-04-14 12:17:13";"2017-04-14 12:37:46";1232;"6 Ave & Canal St";"Little West St & 1 Pl";"Customer";"";NA;"ny"
"125";3006257;"2017-04-18 17:01:54";"2017-04-18 17:17:07";912;"Reade St & Broadway";"South End Ave & Liberty St";"Customer";"";NA;"ny"
"126";2561325;"2017-04-09 20:20:13";"2017-04-09 20:30:02";588;"2 Ave & E 31 St";"E 17 St & Broadway";"Subscriber";"Male";27;"ny"
"127";842093;"2017-02-04 18:43:07";"2017-02-04 18:50:43";455;"W 56 St & 10 Ave";"Broadway & W 49 St";"Subscriber";"Male";46;"ny"
"128";5664204;"2017-06-11 01:11:04";"2017-06-11 01:42:57";1913;"Henry St & Grand St";"Broadway & W 24 St";"Subscriber";"Male";39;"ny"
"129";3789757;"2017-05-04 20:01:39";"2017-05-04 20:36:40";2101;"E 51 St & 1 Ave";"Maiden Ln & Pearl St";"Subscriber";"Male";30;"ny"
"130";5351922;"2017-06-05 17:36:56";"2017-06-05 18:06:11";1754;"South St & Gouverneur Ln";"Richards St & Delavan St";"Subscriber";"Male";33;"ny"
"131";4776884;"2017-05-24 19:56:12";"2017-05-24 20:26:04";1792;"Christopher St & Greenwich St";"Amsterdam Ave & W 79 St";"Subscriber";"Male";57;"ny"
"132";6224775;"2017-06-21 11:46:30";"2017-06-21 12:00:50";859;"W 43 St & 6 Ave";"W 53 St & 10 Ave";"Subscriber";"Female";60;"ny"
"133";6413999;"2017-06-24 14:52:35";"2017-06-24 14:58:00";325;"E 32 St & Park Ave";"E 17 St & Broadway";"Subscriber";"Male";31;"ny"
"134";3028133;"2017-04-19 06:49:47";"2017-04-19 06:53:05";198;"West St & Chambers St";"Centre St & Chambers St";"Subscriber";"Male";40;"ny"
"135";3229794;"2017-04-23 18:02:28";"2017-04-23 18:16:24";835;"Central Park West & W 102 St";"Central Park West & W 72 St";"Subscriber";"Male";56;"ny"
"136";1297870;"2017-02-23 08:07:34";"2017-02-23 08:16:05";511;"W 49 St & 8 Ave";"E 59 St & Madison Ave";"Subscriber";"Male";39;"ny"
"137";1779232;"2017-03-09 11:29:20";"2017-03-09 11:38:49";569;"Columbia St & Rivington St";"Division St & Bowery";"Subscriber";"Male";27;"ny"
"138";1669014;"2017-03-06 11:57:51";"2017-03-06 12:25:57";1686;"Centre St & Worth St";"Clinton St & Tillary St";"Customer";"";NA;"ny"
"139";6170127;"2017-06-20 16:05:55";"2017-06-20 16:30:20";1464;"Carroll St & Smith St";"Centre St & Chambers St";"Subscriber";"Male";52;"ny"
"140";3712090;"2017-05-03 16:20:03";"2017-05-03 17:35:56";4552;"W 34 St & 11 Ave";"Fulton St & Broadway";"Customer";"";NA;"ny"
"141";5529352;"2017-06-08 19:14:41";"2017-06-08 19:46:30";1909;"Washington St & Gansevoort St";"W 46 St & 11 Ave";"Customer";"";NA;"ny"
"142";6467971;"2017-06-25 14:33:29";"2017-06-25 14:58:08";1479;"E 66 St & Madison Ave";"5 Ave & E 103 St";"Customer";"";NA;"ny"
"143";6353718;"2017-06-23 10:39:58";"2017-06-23 10:45:34";335;"Clinton St & Joralemon St";"Cadman Plaza E & Red Cross Pl";"Subscriber";"Female";52;"ny"
"144";775802;"2017-02-02 12:18:26";"2017-02-02 12:22:26";239;"W 13 St & 5 Ave";"Sullivan St & Washington Sq";"Subscriber";"Male";23;"ny"
"145";836946;"2017-02-04 15:08:56";"2017-02-04 15:16:26";449;"Berkeley Pl & 7 Ave";"Bergen St & Smith St";"Subscriber";"Male";42;"ny"
"146";2432181;"2017-04-06 07:20:47";"2017-04-06 07:22:08";81;"MacDougal St & Washington Sq";"Sullivan St & Washington Sq";"Subscriber";"Male";28;"ny"
"147";6647928;"2017-06-28 11:47:01";"2017-06-28 11:57:21";619;"Broadway & W 29 St";"Sullivan St & Washington Sq";"Subscriber";"Male";34;"ny"
"148";6171939;"2017-06-20 16:34:55";"2017-06-20 17:10:27";2132;"FDR Drive & E 35 St";"31 St & Thomson Ave";"Subscriber";"Female";43;"ny"
"149";4837234;"2017-05-26 16:54:06";"2017-05-26 17:15:24";1278;"Washington St & Gansevoort St";"Little West St & 1 Pl";"Subscriber";"Male";53;"ny"
"150";5478620;"2017-06-08 06:20:46";"2017-06-08 06:22:42";116;"E 31 St & 3 Ave";"E 33 St & 2 Ave";"Subscriber";"Male";30;"ny"
"151";72902;"2017-01-04 23:02:57";"2017-01-04 23:05:12";135;"2 Ave & E 31 St";"E 25 St & 2 Ave";"Subscriber";"Male";29;"ny"
"152";2142023;"2017-03-28 09:02:21";"2017-03-28 09:07:13";292;"11 Ave & W 41 St";"W 42 St & 8 Ave";"Subscriber";"Male";34;"ny"
"153";5644756;"2017-06-10 17:11:33";"2017-06-10 17:33:02";1288;"Broadway & W 24 St";"Canal St & Rutgers St";"Subscriber";"Male";44;"ny"
"154";6672567;"2017-06-28 18:04:25";"2017-06-28 18:09:43";317;"W Broadway & Spring St";"Howard St & Centre St";"Subscriber";"Male";56;"ny"
"155";233335;"2017-01-12 17:18:44";"2017-01-12 17:39:39";1255;"W 42 St & 8 Ave";"Central Park West & W 102 St";"Subscriber";"Male";39;"ny"
"156";1884535;"2017-03-17 11:00:41";"2017-03-17 11:09:05";503;"E 65 St & 2 Ave";"E 85 St & 3 Ave";"Subscriber";"Male";33;"ny"
"157";5321258;"2017-06-05 08:08:51";"2017-06-05 08:39:03";1812;"Murray St & West St";"W 42 St & 8 Ave";"Subscriber";"Male";51;"ny"
"158";3744138;"2017-05-04 07:58:56";"2017-05-04 08:09:48";651;"President St & Henry St";"Schermerhorn St & Court St";"Subscriber";"Male";47;"ny"
"159";3018843;"2017-04-18 19:15:38";"2017-04-18 19:42:37";1619;"8 Ave & W 52 St";"6 Ave & Canal St";"Subscriber";"Female";40;"ny"
"160";2316085;"2017-04-03 08:26:45";"2017-04-03 08:37:56";670;"W 38 St & 8 Ave";"E 23 St & 1 Ave";"Subscriber";"Male";41;"ny"
